Distance,qx,qy,Susceptibility_Real,Susceptibility_Imag,Susceptibility_Abs
0.0,0.0,0.0,1.2941515234205934e-06,-2.763410370638226e-22,1.2941515234205934e-06
0.005050505050505051,0.005050505050505051,0.0,1.2937277233489054e-06,4.126993534536006e-10,1.293727789174484e-06
0.010101010101010102,0.010101010101010102,0.0,1.2932827915667492e-06,7.90115596283744e-10,1.2932830329225462e-06
0.015151515151515152,0.015151515151515152,0.0,1.2928205656401175e-06,1.1378713489437405e-09,1.2928210663866986e-06
0.020202020202020204,0.020202020202020204,0.0,1.2923449098577346e-06,1.461483496073662e-09,1.2923457362367105e-06
0.025252525252525256,0.025252525252525252,0.0,1.291859846595757e-06,1.7667411540396174e-09,1.291861054688436e-06
0.030303030303030307,0.030303030303030304,0.0,1.2913696998635072e-06,2.0602461336023853e-09,1.2913713433167454e-06
0.03535353535353536,0.03535353535353535,0.0,1.2908792174338663e-06,2.3502835794719375e-09,1.2908813569943503e-06
0.04040404040404041,0.04040404040404041,0.0,1.2903935393176737e-06,2.64833312665569e-09,1.290396256961846e-06
0.045454545454545456,0.045454545454545456,0.0,1.2899175872153946e-06,2.9718368784587778e-09,1.2899210106134472e-06
0.050505050505050504,0.050505050505050504,0.0,1.28945346036976e-06,3.349361556911415e-09,1.2894578103537887e-06
0.05555555555555555,0.05555555555555555,0.0,1.2889912390253205e-06,3.82967420228633e-09,1.2889969281144648e-06
0.0606060606060606,0.06060606060606061,0.0,1.2884788648958689e-06,4.492267698969134e-09,1.2884866959935698e-06
0.06565656565656565,0.06565656565656566,0.0,1.2877390194370738e-06,5.422460993075735e-09,1.2877504359401234e-06
0.0707070707070707,0.0707070707070707,0.0,1.286378989177489e-06,6.4807002246136755e-09,1.2863953137635023e-06
0.07575757575757576,0.07575757575757576,0.0,1.2842927833129364e-06,6.893418804853874e-09,1.2843112833314627e-06
0.08080808080808081,0.08080808080808081,0.0,1.2824836394958398e-06,6.2615130153195185e-09,1.2824989248025655e-06
0.08585858585858587,0.08585858585858586,0.0,1.2814834585110413e-06,5.433477607917537e-09,1.2814949774058171e-06
0.09090909090909093,0.09090909090909091,0.0,1.2808811709242597e-06,4.898546635456104e-09,1.2808905377851154e-06
0.09595959595959598,0.09595959595959595,0.0,1.2803569754065465e-06,4.612551676155558e-09,1.2803652838565896e-06
0.10101010101010104,0.10101010101010101,0.0,1.279827673530627e-06,4.459360054231922e-09,1.2798354424795833e-06
0.10606060606060609,0.10606060606060606,0.0,1.2792874843198575e-06,4.391906098548007e-09,1.2792950231969983e-06
0.11111111111111115,0.1111111111111111,0.0,1.2787267687759256e-06,4.388443963393954e-09,1.2787342990725396e-06
0.1161616161616162,0.11616161616161616,0.0,1.278141839730762e-06,4.4295075656730344e-09,1.278149515122394e-06
0.12121212121212126,0.12121212121212122,0.0,1.2775351800417864e-06,4.502275503314713e-09,1.277543113452187e-06
0.1262626262626263,0.12626262626262627,0.0,1.2769107977226302e-06,4.599811651891034e-09,1.2769190826390984e-06
0.13131313131313135,0.13131313131313133,0.0,1.2762724270066939e-06,4.7189034229562346e-09,1.2762811508390587e-06
0.1363636363636364,0.13636363636363635,0.0,1.2756231712124649e-06,4.8586296361235705e-09,1.2756324240219384e-06
0.14141414141414146,0.1414141414141414,0.0,1.2749655398615764e-06,5.019584794859844e-09,1.2749754209654529e-06
0.14646464646464652,0.14646464646464646,0.0,1.274301555888292e-06,5.203487825695543e-09,1.2743121798150065e-06
0.15151515151515157,0.15151515151515152,0.0,1.2736328465465149e-06,5.4130118017156e-09,1.2736443492980855e-06
0.15656565656565663,0.15656565656565657,0.0,1.2729606957250665e-06,5.651747647682306e-09,1.272973242103823e-06
0.16161616161616169,0.16161616161616163,0.0,1.2722860578554508e-06,5.924262551473515e-09,1.2722998506248998e-06
0.16666666666666674,0.16666666666666666,0.0,3.491540973227415e-07,-1.1972730235115556e-18,3.491540973227415e-07
0.1717171717171718,0.1717171717171717,0.0,7.166878445021171e-16,-1.2081660241968396e-18,7.166888628423305e-16
0.17676767676767685,0.17676767676767677,0.0,7.168815377276476e-16,-1.2793694743147008e-18,7.168826793283602e-16
0.1818181818181819,0.18181818181818182,0.0,7.170810433472198e-16,-1.3533991496964444e-18,7.170823205303529e-16
0.18686868686868696,0.18686868686868688,0.0,7.17286411708566e-16,-1.4296296569800304e-18,7.172878364106747e-16
0.19191919191919202,0.1919191919191919,0.0,7.174974258661382e-16,-1.508077564845883e-18,7.174990107466881e-16
0.19696969696969707,0.19696969696969696,0.0,7.177141044119687e-16,-1.5889872219072195e-18,7.177158633834603e-16
0.20202020202020213,0.20202020202020202,0.0,7.17936601244161e-16,-1.6725991968113988e-18,7.179385495946645e-16
0.20707070707070718,0.20707070707070707,0.0,7.181651191882627e-16,-1.7591311147656366e-18,7.181672736632954e-16
0.21212121212121224,0.21212121212121213,0.0,7.1839987992757115e-16,-1.848791585557145e-18,7.184022588426873e-16
0.2171717171717173,0.21717171717171718,0.0,7.186411140590056e-16,-1.9417918136451862e-18,7.186437374467381e-16
0.22222222222222235,0.2222222222222222,0.0,7.188890570506213e-16,-2.0383538627507176e-18,7.188919468415273e-16
0.2272727272727274,0.22727272727272727,0.0,7.191439457761676e-16,-2.1387180932539086e-18,7.191471260191463e-16
0.23232323232323246,0.23232323232323232,0.0,7.194060147151816e-16,-2.243153537417853e-18,7.194095118541125e-16
0.23737373737373751,0.23737373737373738,0.0,7.196754942152821e-16,-2.351974937530059e-18,7.196793374553124e-16
