Distance,qx,qy,Susceptibility_Real,Susceptibility_Imag,Susceptibility_Abs
0.0,0.0,0.0,4.4270939062971305e-25,-2.1340391627077912e-30,4.427093906348565e-25
0.005050505050505051,0.005050505050505051,0.0,3.0353640668810175e-11,-7.305461316798994e-12,3.122039825022246e-11
0.010101010101010102,0.010101010101010102,0.0,4.6800509252448627e-11,-7.513032560915483e-12,4.739971861256041e-11
0.015151515151515152,0.015151515151515152,0.0,6.750935576810835e-11,-7.646386030152624e-12,6.79410062888911e-11
0.020202020202020204,0.020202020202020204,0.0,8.994444293598409e-11,-7.746881519996444e-12,9.027744451605484e-11
0.025252525252525256,0.025252525252525252,0.0,1.135333731793075e-10,-7.82171535674362e-12,1.1380248704045891e-10
0.030303030303030307,0.030303030303030304,0.0,1.3803485883160785e-10,-7.874027797908318e-12,1.38259258519725e-10
0.03535353535353536,0.03535353535353535,0.0,1.6330491527835568e-10,-7.905940110141374e-12,1.6349617501059794e-10
0.04040404040404041,0.04040404040404041,0.0,1.8923815860273616e-10,-7.919180189516205e-12,1.8940378582865855e-10
0.045454545454545456,0.045454545454545456,0.0,2.1574805523616754e-10,-7.915268622668167e-12,2.1589320233753864e-10
0.050505050505050504,0.050505050505050504,0.0,2.4275886977378764e-10,-7.895589905825208e-12,2.428872355514134e-10
0.05555555555555555,0.05555555555555555,0.0,2.702018732258033e-10,-7.861424339558112e-12,2.703162116621563e-10
0.0606060606060606,0.06060606060606061,0.0,2.980133530102019e-10,-7.81397113120876e-12,2.9811577737050845e-10
0.06565656565656565,0.06565656565656566,0.0,3.261334293873887e-10,-7.754357037877082e-12,3.262256026388023e-10
0.0707070707070707,0.0707070707070707,0.0,3.545052945784477e-10,-7.683647617112705e-12,3.545885535728078e-10
0.07575757575757576,0.07575757575757576,0.0,3.83074690619135e-10,-7.60285471581303e-12,3.831501298352589e-10
0.08080808080808081,0.08080808080808081,0.0,4.117895054838349e-10,-7.51294415735407e-12,4.118580351972422e-10
0.08585858585858587,0.08585858585858586,0.0,4.40599433661079e-10,-7.414841118709105e-12,4.406618213679048e-10
0.09090909090909093,0.09090909090909091,0.0,4.694557185995971e-10,-7.309435232432138e-12,4.695126191800187e-10
0.09595959595959598,0.09595959595959595,0.0,4.98310885308869e-10,-7.197588051651471e-12,4.983628634750688e-10
0.10101010101010104,0.10101010101010101,0.0,6.611387347891887e-13,-5.772552702713266e-16,6.611389867964952e-13
0.10606060606060609,0.10606060606060606,0.0,6.66353055699806e-13,-5.332187113852972e-16,6.66353269041777e-13
0.11111111111111115,0.1111111111111111,0.0,6.691151382984477e-13,-4.926443081104991e-16,6.6911531965616e-13
0.1161616161616162,0.11616161616161616,0.0,6.69409768807147e-13,-4.570339104470873e-16,6.694099248251651e-13
0.12121212121212126,0.12121212121212122,0.0,6.672143841261693e-13,-4.2797324430315177e-16,6.672145213842106e-13
0.1262626262626263,0.12626262626262627,0.0,6.62498853535782e-13,-4.071495140790605e-16,6.624989786459693e-13
0.13131313131313135,0.13131313131313133,0.0,6.552252007153635e-13,-3.963707139113913e-16,6.552253206052336e-13
0.1363636363636364,0.13636363636363635,0.0,6.453472617644868e-13,-3.9758700014208407e-16,6.453473842376242e-13
0.14141414141414146,0.1414141414141414,0.0,6.328102738970439e-13,-4.1291453028323086e-16,6.328104086122959e-13
0.14646464646464652,0.14646464646464646,0.0,6.175503883341331e-13,-4.446622383675908e-16,6.175505484218639e-13
0.15151515151515157,0.15151515151515152,0.0,5.994940996129365e-13,-4.953620955671542e-16,5.994943042718015e-13
0.15656565656565663,0.15656565656565657,0.0,5.785575820196438e-13,-5.678035014219127e-16,5.785578606442342e-13
0.16161616161616169,0.16161616161616163,0.0,5.546459220995365e-13,-6.650725688504272e-16,5.546463208416395e-13
0.16666666666666674,0.16666666666666666,0.0,5.27652234141642e-13,-7.905972102396902e-16,5.276528264290973e-13
0.1717171717171718,0.1717171717171717,0.0,4.974566431117608e-13,-9.481991085742164e-16,4.974575467892423e-13
0.17676767676767685,0.17676767676767677,0.0,4.639251166334373e-13,-1.142153874692218e-15,4.6392652258609e-13
0.1818181818181819,0.18181818181818182,0.0,4.269081241890978e-13,-1.377260959466568e-15,4.2691034579452935e-13
0.18686868686868696,0.18686868686868688,0.0,3.8623909760536147e-13,-1.6589252209630002e-15,3.8624266019161154e-13
0.19191919191919202,0.1919191919191919,0.0,3.4173266193774036e-13,-1.9932524581151515e-15,3.4173847499281624e-13
0.19696969696969707,0.19696969696969696,0.0,2.9318259987900227e-13,-2.3871617357700375e-15,2.931923181342988e-13
0.20202020202020213,0.20202020202020202,0.0,2.6324786053237546e-13,-2.6629722201125945e-15,2.6326132928312525e-13
0.20707070707070718,0.20707070707070707,0.0,2.6625902606617806e-13,-2.68136907331487e-15,2.6627252712553174e-13
0.21212121212121224,0.21212121212121213,0.0,2.691793589540089e-13,-2.6988065219737726e-15,2.691928878026576e-13
0.2171717171717173,0.21717171717171718,0.0,2.720119916330675e-13,-2.7153280848503304e-15,2.7202554401893286e-13
0.22222222222222235,0.2222222222222222,0.0,2.747599195277449e-13,-2.730974950817275e-15,2.7477349144900214e-13
0.2272727272727274,0.22727272727272727,0.0,2.7742600840868036e-13,-2.7457861263482744e-15,2.774395960980062e-13
0.23232323232323246,0.23232323232323232,0.0,2.8001300128315383e-13,-2.759798572210407e-15,2.800266011930986e-13
0.23737373737373751,0.23737373737373738,0.0,2.8252352485126113e-13,-2.7730473302554963e-15,2.825371336406544e-13
